Username,Tweet,Follower
MsKateCakes206,1,16
museumstrategy,1,772
mwa1791,1,374
Naizarg,1,111
napolaris_,1,1001
napolitano1961,1,10
naspetti,1,249
NativiItaliani,1,309
nevercameback,1,1742
News24_it,11,3842
newsrimini,1,3451
NewsRSN,1,208
ngRawr446,1,34
nico261991,79,82
nicola_picardi,1,207
Nimapel75,1,88
Ninaforthedogs,1,379
Nlorisis,1,86
nocciolone,1,295
NoicheAmiamoFO,9,137
norma_bruni,1,0
noscros,75,92
NOVLTeNOGRATTIN,13,106
nuhares,1,210
NunezLafuen,1,236
occhioacosadici,1,4
ofcs_report,4,287
OllaPiero,1,1543
OnorioFerraro,1,403
OnTheRoad83,1,95
OrbisTertius3,1,166091
orestenovazzi,1,281
orvietonews,2,1707
OrvietoTv,2,57
ossolanews,1,1110
OttavioPirelli,2,649
OttLegalRebels,1,31051
padfrance,1,287
Pagliarafabio,1,1976
pak_62,20,88
PallanchR,1,302
Palmyro70,2,148
PaolaCanonico1,1,1133
paolafern75,1,1096
paolinopapaerin,3,318
Paolo44716751,1,12
paolodon26,34,87
paoloigna1,1,55737
paolopuglisi50,2,19
paridemotta72,2,22
parlattando,1,210
PARTIDAQUI,1,126
partnerdigitale,1,669
patawill359,5,13
patrikkka,1,189
Patrizia1965Di,1,457
PatriziaRametta,1,20845
PClemente68,1,146
pedro_becares_,1,454
pendolare67,1,50
PendolariRMNord,3,2949
PeppeGiuliano,16,100
peppexpo,1,3173
percivalgull,1,3337
Peschiera_r,1,212
phlcgn,2,149
PicchixFirenze,1,325
PicenoTime,1,1952
PierFra100,2,19
pierluigi56,1,83
PierMaran,1,8193
piero062,10,111
piero7912,1,104
pierrebxl,1,429
Pippo_1,1,314
pippodedo62,2,4
pistarino,1,40
PlasticaVerde,1,605
PoliceNewsTas,1,4192
poliziadistato,1,28070
polycartspa,2,405
pombo1976,1,152
ponti66,1,185
portentoorlando,1,11958
pos_kay,1,97
PPirastu,2,494
prof1976,1,524
proudman811,1,99
PSparlando,1,18
quoquetu,1,455
r_aniello,2,198
Radio1Rai,2,32008
radioadina,1,47
RadioStudio_93,5,493
raffaele0077,2,0
Raffipaffy,1,189
rafgri70,1,208
RaiNews,1,853036
Ran78,2,1290
RassegnaVela,1,215
RavennaDintorni,1,3857
RavennaWebTV,5,2248
rbisirri,1,48
rbrencio,1,29
rCangiante,1,14
Rebelli0n2k,1,590
redspecial911,5,195
RemyHerren,1,523
renzoferrari61,1,613
rep_bari,1,41617
ReteComuniSIN,1,908
retesoletv,2,493
retewebitalia,1,31
ReTwitStorm_ita,1,1034
revivalsbae,1,3299
riccardiandrea1,1,32
riccardofiorito,2,445
rickyreys,1,405
ripofnail,3,76
robegalli,1,511
roberiez,1,458
robertoabate77,1,4
robertoanino,1,1147
robertocosta_ge,1,1985
RobertoDiRenzo1,1,75
RobertoMinerdo,1,1454
robin_mura,1,140
RobRe62,27,14266
rodrgtr,1,2337
rofuba,1,62
Rolfi39,1,65
Roma22Sa,1,40
Roma3Radio,1,621
romanofromitaly,1,386
RosannaMarani,1,5260
rosannaprocacci,1,11
RosariaGismon,1,1
RosiDelullo17,3,92
RossanaSanavio,1,19
RossiniPoli,1,25
RoxyMenty,1,553
RuggiTita,1,236
ruiciccio,2,614
russo_alfio,2,68
Sabbetta,1,1107
Sabrina00297634,1,892
sabrinagrelli,1,79
sacchetico,1,1518
salidaparallela,1,23
Salvato31515510,2,31
SalvoMandara,1,10970
salvomic,2,1344
SamperiB,1,1466
sandrarouge68,1,28
sandripavli,1,1367
SandroAddario,1,84
Sandrodream74,1,10
SantellaMarco,1,1919
SantinomySm,4,746
SaralunaT,2,558
SardegnaPRadio,1,329
sarettarm82,1,6
sarvexit,1,1273
sbaffato,5,437
scipio57,1,234
Scorazzata,1,7834
ScoutsPompiers,2,76
ScrivoLibero,1,503
SegnalazioniSS,1,352
selly_h96,1,260
serenellavasco,1,74
SergioBellano,5,35
settesere,1,833
sfbracciorosso,1,27
sferriam,1,568
shasyafanzia,1,20
shawnslaught,1,6521
SheisGiu,1,726
SHIPaCARasap415,1,34
signorile55,1,0
sigworld,1,296
SilvanaAlbanes1,2,3611
silviafossiblog,1,1233
silviaturin,1,441
SilviaZennaro7,3,138
silvio1288,14,94
SIMARRO88,1,110
simba6006,38,49
SinnovaIT,1,1199
siracusanews,1,3516
SiracusaTimes,2,1062
Sirio081,1,12
sisifoitalia,1,223
sisifosrl,1,3437
sixstrings21,1,1
SjylPoliti,1,45038
sllitslien,1,585
SMediaGreen,1,368
snafribo,1,44
Snoopy16466,1,153
socialmiliac,3,1221
soemiade,5,191
sohampandlt,1,23
soleterramare,1,676
soli1964,1,1070
SolomonKisskiss,1,15
sonnyscrivano,1,3463
sonociambella,1,1340
SpeBoccafogli,1,132
SpinosoDavide,1,617
spouseshl,2,1030
squalius,1,5087
stagliacollo,1,961
StaletovicS,2,2595
StampToscana,3,3978
StationLavaredo,1,230
Stefan0514,4,202
StefaniaDiBiase,1,65
StefaniaZucc,1,888
stefanocarlo2,1,288
StefanoLat,1,11
StefanoLonghi2,1,102
Stefbazzi,1,465
stiglianopasqu1,1,48
StoppaAntonio,29,132
strategicpolicy,1,1418
streghina62,1,691
STUDIOLEGALEACP,1,49
Superdopafly,1,103
sushthesis,1,1686
SusiBallabio78,1,739
sutikamarina,1,95
taccola10,1,458
tamaradandria,19,14
taniadigennaro,39,40
telebrindisiweb,3,1131
TeleRompo,1,2320
tenshi355,2,79
TeoMg96,1,249
TernaSpA,3,2663
terrorfunding,2,16
TerzoDiritto,3,1506
Tg3web,1,163654
TgrCalabria,2,1583
TgrMolise,1,1105
TgrPiemonte,1,1779
TgrRai,17,25124
TgrRaiFVG,4,1494
TgrRaiLazio,4,2503
TgrRaiPuglia,1,1363
TgrRaiToscana,1,1646
TgrSardegna,4,1997
tgrvda,1,2362
TgVerona,1,3371
TheMusketeer8,1,19
TheRenry,1,541
TINAGULLI1,1,1100
tine_10e,1,2168
Titasista,1,152
TMilitari,1,1
ToktakM0nnapat,1,31
TommyMediagold,16,52
Tomrunner2,3,445
toninoiltipo,2,11
tony_elias15,2,12
Toscanaccia1,1,388
trekking_tv,3,70
TRIESTEALLNEWS,1,2732
trincherov,6,12
Trinity8mm,1,756
tulipano_anna,2,9
Turiddu69,1,176
twi_sabino,1,275
Twiperbole,1,52058
twittodarte,1,1396
twMirandolina,1,2255
U_R_F_I,3,745
UmbriaDomani,3,1040
umbriajournal_,1,2900
unblogpolitico,3,477
UrbimanoOrbi,2,68
usatoscherma,1,10
VabScordia,1,658
Valelovesamanda,1,726
ValoreSociale,1,3666
value4valuables,1,45
valy_s,1,18419
vam237,1,93
VaniaCecconi,1,350
Vasco35481906,1,40
venjames,13,59
VerbaniaNotizie,1,2703
VicentePugliaAr,1,2708
Vicenza_Today,1,3125
videOasls,1,37
vincenzogfg,4,406
VinoegustoBlog,1,853
VIOLAMARTELLA46,1,323
Virtualmypos,1,27
Vitasostenibile,1,284
vitto_72,1,8
vlasic85,1,3
VMaielli,1,1130
vmvmarco,1,214
VozzaAnita,1,50
Weblifemedia,1,93
webnauta59,8,3261
WhitewolfGori,1,1613
woland1964,1,899
wwf_taranto,1,751
WWFitalia,1,94300
xbici,1,47
xblunotte,1,607
Yennypm_81,1,159
YouReporter,1,63132
ZacchedduFranc1,1,687
ZampieriChiara,1,9502
zaynslaugh__,1,936
zenobili,2,57
ziotinotgr,1,514
