Username,TweetTot,RT,Tweet,Percentuale,Follower,Totale,Differenza,neutral,positive,negative,Code
CTAMELLINI,1,1,0,0.0368,38,2720,2719,1,0,0,USA
CTraumastudies,1,1,0,0.0368,139,2720,2719,1,0,0,ITA
CULT_TIME,1,0,1,0.0368,513,2720,2719,1,0,0,ITA
CupparoMary,1,1,0,0.0368,25,2720,2719,1,0,0,ITA
Cyber_Laser,1,1,0,0.0368,11,2720,2719,1,0,0,USA
CyberToolsBooks,1,1,0,0.0368,5598,2720,2719,1,0,0,ITA
Dades74C,1,0,1,0.0368,4,2720,2719,1,0,0,ESP
dakargilbert,2,2,0,0.0735,13,2720,2718,2,0,0,ITA
Damiano__89,1,1,0,0.0368,198,2720,2719,1,0,0,ITA
Daniela74Dl,1,1,0,0.0368,36,2720,2719,1,0,0,ITA
daniele17121972,1,1,0,0.0368,632,2720,2719,1,0,0,ITA
danieledvpd,1,1,0,0.0368,1290,2720,2719,0,1,0,ITA
dario_vito23,11,10,1,0.4044,200,2720,2709,11,0,0,USA
darioarpaio,1,1,0,0.0368,46,2720,2719,1,0,0,ITA
DarioNardella,1,0,1,0.0368,32880,2720,2719,0,1,0,FRA
DarioProietti1,1,1,0,0.0368,19,2720,2719,1,0,0,ITA
Davide_on_a_Mac,1,1,0,0.0368,111,2720,2719,1,0,0,ITA
davide_xbxb,44,43,1,16.176,35,2720,2676,44,0,0,ITA
DavideRonni,1,1,0,0.0368,3767,2720,2719,1,0,0,ITA
DBotondi,1,0,1,0.0368,42,2720,2719,1,0,0,ITA
DeboraSca,1,1,0,0.0368,41,2720,2719,1,0,0,ITA
DEliaMichele,1,1,0,0.0368,138,2720,2719,1,0,0,ITA
delicate_purple,1,0,1,0.0368,347,2720,2719,1,0,0,ITA
demeteritalia,1,1,0,0.0368,136,2720,2719,1,0,0,ITA
demian_yexil,1,1,0,0.0368,506,2720,2719,0,1,0,ITA
democratici,1,0,1,0.0368,371,2720,2719,1,0,0,ITA
Desynina3,1,1,0,0.0368,4796,2720,2719,1,0,0,ITA
Desyspillo,1,0,1,0.0368,61,2720,2719,1,0,0,RUS
dfander00331750,1,1,0,0.0368,0,2720,2719,1,0,0,USA
Dianichis35,1,1,0,0.0368,41,2720,2719,1,0,0,ITA
diarioditrieste,1,0,1,0.0368,397,2720,2719,1,0,0,ITA
DiavoloAcquasnt,1,0,1,0.0368,582,2720,2719,1,0,0,ITA
DIOGENECINICO,1,1,0,0.0368,37,2720,2719,1,0,0,USA
dippolitowilma,1,1,0,0.0368,93,2720,2719,1,0,0,ITA
direorvietonews,2,0,2,0.0735,29,2720,2718,2,0,0,ITA
dirittofrontier,3,0,3,0.1103,1873,2720,2717,3,0,0,ITA
DiRonzaGiacomo,1,1,0,0.0368,427,2720,2719,1,0,0,NLD
DjVitruvian,1,0,1,0.0368,332,2720,2719,1,0,0,ITA
dk768,1,1,0,0.0368,874,2720,2719,0,1,0,ITA
DLA_Piper_Italy,1,1,0,0.0368,1043,2720,2719,1,0,0,ITA
DnlCsz,1,1,0,0.0368,57,2720,2719,1,0,0,ITA
DossiCarla,1,1,0,0.0368,4082,2720,2719,1,0,0,USA
dotcom_tony,1,1,0,0.0368,51,2720,2719,1,0,0,ITA
dottocistico,1,1,0,0.0368,3,2720,2719,1,0,0,ITA
DottVignolo,1,1,0,0.0368,266,2720,2719,1,0,0,ITA
driano84,58,41,17,21.324,15,2720,2662,56,2,0,ITA
drusilla70,1,1,0,0.0368,206,2720,2719,1,0,0,ITA
dxmariella,1,0,1,0.0368,859,2720,2719,0,0,1,ITA
ecoallestimenti,1,1,0,0.0368,655,2720,2719,1,0,0,ITA
ecocloe,1,1,0,0.0368,504,2720,2719,1,0,0,ITA
Ecosofista,1,1,0,0.0368,1145,2720,2719,1,0,0,ITA
Ecozema_IT,1,1,0,0.0368,752,2720,2719,1,0,0,ITA
EdizioniOggi,1,0,1,0.0368,933,2720,2719,1,0,0,ITA
edoardofaiella,4,4,0,0.1471,201,2720,2716,4,0,0,ITA
EdoardOrsi,1,0,1,0.0368,21,2720,2719,1,0,0,ITA
EEnricoielasi,2,0,2,0.0735,648,2720,2718,2,0,0,ITA
EffeF61,2,1,1,0.0735,650,2720,2718,2,0,0,ITA
eleitaliana,1,1,0,0.0368,1479,2720,2719,1,0,0,ITA
Elena07617349,4,2,2,0.1471,10611,2720,2716,3,0,1,ITA
ElenDuk,1,1,0,0.0368,1314,2720,2719,1,0,0,ITA
ElioPD,1,1,0,0.0368,105,2720,2719,0,1,0,ITA
elisbro,1,0,1,0.0368,5,2720,2719,1,0,0,ITA
ellellevercillo,3,2,1,0.1103,503,2720,2717,3,0,0,FRA
EmmanuelTropee,1,1,0,0.0368,415,2720,2719,1,0,0,ITA
emmazanni,1,1,0,0.0368,314,2720,2719,0,1,0,ITA
EnrichettaNegri,1,1,0,0.0368,1964,2720,2719,0,1,0,USA
enzo_enzofelix,11,11,0,0.4044,29,2720,2709,11,0,0,ITA
EPolice15,1,0,1,0.0368,115,2720,2719,1,0,0,ITA
Erix_Genovese,1,0,1,0.0368,118,2720,2719,1,0,0,ITA
ernestobruno6,1,1,0,0.0368,55,2720,2719,1,0,0,ITA
eryka_bo,3,1,2,0.1103,2734,2720,2717,3,0,0,ITA
ESlucegas,1,1,0,0.0368,2199,2720,2719,1,0,0,ITA
estensecom,1,0,1,0.0368,6617,2720,2719,1,0,0,ITA
eur_83,1,1,0,0.0368,88,2720,2719,1,0,0,USA
Europol,2,0,2,0.0735,32088,2720,2718,2,0,0,ITA
extraterra62,1,1,0,0.0368,21,2720,2719,1,0,0,ITA
f_ottaviani,1,1,0,0.0368,23,2720,2719,1,0,0,ITA
fabio_calcioli,4,4,0,0.1471,162,2720,2716,4,0,0,ITA
fabio70AR,1,0,1,0.0368,3314,2720,2719,1,0,0,ITA
fabiofrancese3,1,0,1,0.0368,0,2720,2719,1,0,0,ITA
fabioseragusa,1,1,0,0.0368,92,2720,2719,1,0,0,ITA
fabiozpp,1,1,0,0.0368,171,2720,2719,1,0,0,ITA
FabrizioRira,1,1,0,0.0368,922,2720,2719,1,0,0,ITA
faellanta,1,1,0,0.0368,19,2720,2719,1,0,0,ITA
FaenzaWebTv,2,0,2,0.0735,1104,2720,2718,2,0,0,ITA
FalcionelliFede,8,8,0,0.2941,1192,2720,2712,8,0,0,ITA
Faraone2016,1,1,0,0.0368,1384,2720,2719,0,1,0,ITA
FarmaciaGreen,1,1,0,0.0368,203,2720,2719,1,0,0,ITA
FedeAngeli,1,1,0,0.0368,7475,2720,2719,0,0,1,ITA
FedeRacing88,1,1,0,0.0368,224,2720,2719,1,0,0,ITA
federalberghi,1,1,0,0.0368,6339,2720,2719,1,0,0,ITA
FederalberghiRM,1,1,0,0.0368,1582,2720,2719,1,0,0,ITA
FederalbergVCO,1,1,0,0.0368,448,2720,2719,1,0,0,ITA
FederBio,1,1,0,0.0368,5677,2720,2719,1,0,0,ITA
federicamassa3,1,1,0,0.0368,166,2720,2719,1,0,0,ITA
FedericoZurzolo,1,1,0,0.0368,814,2720,2719,1,0,0,ITA
Federmanager,1,1,0,0.0368,1794,2720,2719,1,0,0,ITA
fedquattrocchi,1,0,1,0.0368,2241,2720,2719,1,0,0,ITA
felicecilfone,1,0,1,0.0368,145,2720,2719,1,0,0,ITA
FeliciLory,7,7,0,0.2574,159,2720,2713,7,0,0,ITA
Ferdinando89,4,4,0,0.1471,344,2720,2716,4,0,0,ITA
FettucciaS,4,4,0,0.1471,3,2720,2716,4,0,0,ITA
fiabeschienrico,1,1,0,0.0368,57,2720,2719,1,0,0,ITA
fichera_d,1,1,0,0.0368,9,2720,2719,1,0,0,ITA
filippobassato,1,1,0,0.0368,81,2720,2719,1,0,0,ITA
Filippopompei,1,1,0,0.0368,998,2720,2719,1,0,0,ITA
filmassari1,1,1,0,0.0368,231,2720,2719,1,0,0,ITA
filotesa,1,1,0,0.0368,498,2720,2719,0,0,1,ITA
fio65,1,1,0,0.0368,71,2720,2719,1,0,0,ITA
FlaviaCorda,3,2,1,0.1103,2391,2720,2717,3,0,0,ITA
fmbreakfast,1,0,1,0.0368,553,2720,2719,1,0,0,ITA
Fmela24,1,0,1,0.0368,49,2720,2719,1,0,0,NLD
FNhuis,1,1,0,0.0368,76,2720,2719,1,0,0,ITA
fondieuropei20,1,1,0,0.0368,5083,2720,2719,1,0,0,ITA
FonteComune,1,1,0,0.0368,375,2720,2719,1,0,0,ITA
forte_l,1,1,0,0.0368,9,2720,2719,1,0,0,ITA
FraAndreozzi,2,2,0,0.0735,26,2720,2718,2,0,0,ITA
frafra61_rossi,1,1,0,0.0368,2173,2720,2719,0,1,0,ITA
frafree86,1,0,1,0.0368,125,2720,2719,1,0,0,ITA
frailmari,1,0,1,0.0368,2066,2720,2719,1,0,0,ITA
Franc__es,41,41,0,15.074,35,2720,2679,41,0,0,ITA
Frances29571990,1,0,1,0.0368,5,2720,2719,1,0,0,ITA
FRANCESC0PAGANO,3,3,0,0.1103,272,2720,2717,3,0,0,ITA
FrancescoNeva,1,1,0,0.0368,45,2720,2719,1,0,0,ITA
FrancoTrax,1,1,0,0.0368,3549,2720,2719,0,1,0,USA
francy1973tosi,1,1,0,0.0368,58,2720,2719,0,1,0,ITA
FrancyDicorato,2,2,0,0.0735,197,2720,2718,2,0,0,ITA
FrancyG9,1,1,0,0.0368,78,2720,2719,1,0,0,ITA
